Rk,Tm,Lg,G,W,L,W-L%,R,RA,Rdiff,SOS,SRS,pythWL,Luck,Inter,Home,Road,ExInn,1Run,vRHP,vLHP,≥.500,<.500
1,LAD,NL,162,104,58,.642,4.8,3.6,1.2,-0.2,0.9,102-60,2,16-4,57-24,47-34,8-4,25-19,71-43,33-15,36-33,68-25
2,CLE,AL,162,102,60,.630,5.0,3.5,1.6,-0.1,1.5,108-54,-6,6-14,49-32,53-28,4-2,20-15,66-36,36-24,27-22,75-38
3,HOU,AL,162,101,61,.624,5.5,4.3,1.2,0.0,1.2,99-63,2,15-5,48-33,53-28,4-4,19-13,80-37,21-24,18-15,83-46
4,WSN,NL,162,97,65,.599,5.1,4.1,0.9,-0.3,0.6,96-66,1,10-10,47-34,50-31,7-4,30-21,75-50,22-15,23-19,74-46
5,BOS,AL,162,93,69,.574,4.8,4.1,0.7,0.1,0.8,93-69,0,16-4,48-33,45-36,15-3,22-19,75-50,18-19,27-23,66-46
6,ARI,NL,162,93,69,.574,5.0,4.1,0.9,-0.2,0.8,96-66,-3,12-8,52-29,41-40,9-3,29-23,68-52,25-17,39-35,54-34
7,CHC,NL,162,92,70,.568,5.1,4.3,0.8,-0.2,0.6,93-69,-1,12-8,48-33,44-37,7-3,26-17,71-56,21-14,35-35,57-35
8,NYY,AL,162,91,71,.562,5.3,4.1,1.2,0.1,1.3,100-62,-9,15-5,51-30,40-41,5-6,18-26,67-48,24-23,26-22,65-49
9,COL,NL,162,87,75,.537,5.1,4.7,0.4,-0.1,0.3,87-75,0,10-10,46-35,41-40,2-3,21-14,59-55,28-20,37-35,50-40
10,MIL,NL,162,86,76,.531,4.5,4.3,0.2,-0.1,0.1,85-77,1,11-9,46-38,40-38,5-11,25-22,69-59,17-17,37-38,49-38
11,MIN,AL,162,85,77,.525,5.0,4.9,0.2,0.1,0.2,83-79,2,13-7,41-40,44-37,3-3,15-18,59-54,26-23,20-31,65-46
12,STL,NL,162,83,79,.512,4.7,4.4,0.3,-0.1,0.2,87-75,-4,8-12,44-37,39-42,5-9,24-29,64-63,19-16,27-44,56-35
13,LAA,AL,162,80,82,.494,4.4,4.4,0.0,0.1,0.1,81-81,-1,11-9,43-38,37-44,8-7,27-22,56-58,24-24,21-31,59-51
14,TBR,AL,162,80,82,.494,4.3,4.3,-0.1,0.2,0.1,80-82,0,11-9,42-39,38-43,8-6,21-24,61-53,19-29,31-37,49-45
15,KCR,AL,162,80,82,.494,4.3,4.9,-0.5,0.2,-0.4,72-90,8,9-11,43-38,37-44,4-7,25-16,62-59,18-23,29-42,51-40
16,TEX,AL,162,78,84,.481,4.9,5.0,-0.1,0.1,0.0,79-83,-1,14-6,41-40,37-44,5-5,13-24,56-66,22-18,18-30,60-54
17,SEA,AL,162,78,84,.481,4.6,4.8,-0.1,0.1,0.0,79-83,-1,12-8,40-41,38-43,7-5,26-15,56-61,22-23,20-32,58-52
18,MIA,NL,162,77,85,.475,4.8,5.1,-0.3,-0.2,-0.5,77-85,0,9-11,42-36,35-49,6-5,18-22,64-64,13-21,22-40,55-45
19,TOR,AL,162,76,86,.469,4.3,4.8,-0.6,0.3,-0.3,72-90,4,9-11,42-39,34-47,5-14,26-27,58-62,18-24,27-41,49-45
20,PIT,NL,162,75,87,.463,4.1,4.5,-0.4,-0.1,-0.4,74-88,1,10-10,44-37,31-50,8-9,20-24,58-63,17-24,40-50,35-37
21,OAK,AL,162,75,87,.463,4.6,5.1,-0.5,0.2,-0.4,73-89,2,7-13,46-35,29-52,4-9,21-21,56-61,19-26,24-25,51-62
22,BAL,AL,162,75,87,.463,4.6,5.2,-0.6,0.3,-0.3,72-90,3,8-12,46-35,29-52,12-4,21-20,49-63,26-24,25-46,50-41
23,ATL,NL,162,72,90,.444,4.5,5.1,-0.5,-0.2,-0.7,73-89,-1,9-11,37-44,35-46,6-8,19-24,57-75,15-15,25-37,47-53
24,SDP,NL,162,71,91,.438,3.7,5.0,-1.3,0.0,-1.3,59-103,12,8-12,43-38,28-53,4-7,19-19,52-64,19-27,35-56,36-35
25,NYM,NL,162,70,92,.432,4.5,5.3,-0.8,-0.1,-0.9,69-93,1,7-13,37-44,33-48,3-8,21-24,55-69,15-23,17-49,53-43
26,CIN,NL,162,68,94,.420,4.6,5.4,-0.7,0.0,-0.7,70-92,-2,5-15,39-42,29-52,3-7,13-22,59-65,9-29,34-60,34-34
27,CHW,AL,162,67,95,.414,4.4,5.1,-0.7,0.2,-0.5,70-92,-3,6-14,39-42,28-53,5-5,21-23,47-69,20-26,23-49,44-46
28,PHI,NL,162,66,96,.407,4.3,4.8,-0.6,-0.1,-0.7,72-90,-6,5-15,39-42,27-54,7-10,21-36,42-75,24-21,23-43,43-53
29,DET,AL,162,64,98,.395,4.5,5.5,-1.0,0.2,-0.8,67-95,-3,8-12,34-47,30-51,1-4,17-23,43-76,21-22,28-40,36-58
30,SFG,NL,162,64,98,.395,3.9,4.8,-0.8,0.0,-0.9,67-95,-3,8-12,38-43,26-55,12-7,23-24,46-68,18-30,36-54,28-44
